Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea	Total
OG0000000	29	51	55	3	58	196
OG0000001	36	20	5	1	1	63
OG0000002	2	17	15	4	18	56
OG0000003	0	3	47	0	4	54
OG0000004	0	20	15	3	15	53
OG0000005	0	22	14	1	13	50
OG0000006	0	16	20	0	10	46
OG0000007	2	14	14	1	14	45
OG0000008	0	4	39	0	0	43
OG0000009	0	1	28	0	14	43
OG0000010	0	12	7	1	20	40
OG0000011	0	4	34	0	0	38
OG0000012	0	29	1	0	7	37
OG0000013	0	27	8	0	2	37
OG0000014	0	17	1	0	18	36
OG0000015	17	5	7	0	5	34
OG0000016	0	25	8	0	1	34
OG0000017	0	25	8	0	1	34
OG0000018	17	3	6	2	5	33
OG0000019	0	25	7	0	0	32
OG0000020	0	2	6	18	6	32
OG0000021	27	0	3	0	0	30
OG0000022	0	30	0	0	0	30
OG0000023	0	6	13	0	10	29
OG0000024	0	2	1	25	0	28
OG0000025	27	0	0	0	0	27
OG0000026	0	1	4	0	22	27
OG0000027	0	2	3	0	22	27
OG0000028	0	0	0	25	2	27
OG0000029	3	4	13	1	5	26
OG0000030	12	2	3	0	9	26
OG0000031	0	23	1	0	2	26
OG0000032	0	7	6	8	5	26
OG0000033	2	10	8	2	3	25
OG0000034	0	21	1	2	0	24
OG0000035	0	1	20	0	3	24
OG0000036	0	3	3	0	17	23
OG0000037	0	2	19	0	2	23
OG0000038	9	4	2	4	3	22
OG0000039	2	7	6	1	6	22
OG0000040	16	2	2	0	2	22
OG0000041	9	4	5	2	2	22
OG0000042	0	0	4	18	0	22
OG0000043	2	16	1	0	2	21
OG0000044	0	11	10	0	0	21
OG0000045	0	1	4	0	16	21
OG0000046	0	0	20	0	1	21
OG0000047	0	0	20	0	1	21
OG0000048	7	3	6	1	3	20
OG0000049	11	3	5	0	1	20
OG0000050	9	8	0	1	2	20
OG0000051	11	5	2	0	2	20
OG0000052	0	20	0	0	0	20
OG0000053	0	20	0	0	0	20
OG0000054	0	16	0	0	4	20
OG0000055	0	9	7	0	4	20
OG0000056	0	1	19	0	0	20
OG0000057	0	0	9	0	11	20
OG0000058	10	2	3	1	3	19
OG0000059	11	4	3	0	1	19
OG0000060	14	2	2	1	0	19
OG0000061	7	6	4	1	1	19
OG0000062	6	6	3	1	3	19
OG0000063	0	18	0	0	1	19
OG0000064	0	6	6	5	2	19
OG0000065	0	4	4	3	8	19
OG0000066	0	3	9	3	4	19
OG0000067	0	1	13	1	4	19
OG0000068	0	1	1	0	17	19
OG0000069	18	0	0	0	0	18
OG0000070	9	2	3	2	2	18
OG0000071	1	2	6	0	9	18
OG0000072	1	13	3	0	1	18
OG0000073	0	17	1	0	0	18
OG0000074	0	8	9	0	1	18
OG0000075	0	15	1	0	2	18
OG0000076	0	18	0	0	0	18
OG0000077	0	6	8	1	3	18
OG0000078	0	3	4	0	11	18
OG0000079	0	0	17	0	1	18
OG0000080	6	2	5	0	4	17
OG0000081	4	2	3	0	8	17
OG0000082	6	3	3	1	4	17
OG0000083	1	7	4	1	4	17
OG0000084	3	3	3	1	7	17
OG0000085	0	4	6	1	6	17
OG0000086	0	10	3	0	4	17
OG0000087	0	7	3	4	3	17
