Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea
OG0000000	C0Z2L2_AT5G63650, F4J0N1_AT3G50500, F4JGW8_AT4G04740, F4JTL3_AT4G38230, Q06850_AT5G04870, Q38869_AT4G09570, Q38872_AT2G17290, Q39016_AT1G35670, Q39192_AT3G50500, Q39193_AT5G66880, Q3E9C0_AT5G19360, Q42396_AT5G23580, Q42479_AT4G23650, Q6NLQ6_AT3G57530, Q8W4I7_AT3G51850, Q93VD3_AT1G30270, Q9FFP9_AT5G63650, Q9FLZ3_AT5G39440, Q9FMP5_AT5G12180, Q9LET1_AT3G56760, Q9M101_AT4G04740, Q9SCS2_AT3G50530, Q9SG12_AT3G49370, Q9SMQ4_AT4G40010, Q9SSF8_AT1G74740, Q9SZM3_AT4G38230, Q9ZSA2_AT4G04720, Q9ZSA3_AT4G04710, Q9ZV15_AT2G38910	Cre01.g003524.t1.1, Cre01.g009500.t1.2, Cre01.g034900.t1.2, Cre01.g036650.t1.1, Cre01.g036700.t1.2, Cre01.g037100.t1.1, Cre01.g048650.t1.1, Cre02.g074370.t1.2, Cre02.g075900.t1.1, Cre02.g076900.t1.1, Cre02.g106650.t1.1, Cre02.g112500.t1.1, Cre02.g113600.t1.2, Cre02.g114750.t1.2, Cre03.g144484.t1.1, Cre03.g153150.t1.2, Cre03.g199000.t1.2, Cre04.g211600.t1.1, Cre04.g220700.t1.2, Cre04.g228300.t1.1, Cre04.g228800.t1.1, Cre06.g251050.t1.1, Cre06.g292700.t1.2, Cre06.g296200.t1.2, Cre07.g328900.t1.2, Cre08.g359900.t1.1, Cre08.g382800.t1.2, Cre09.g400330.t1.1, Cre09.g400330.t2.1, Cre10.g418900.t1.2, Cre10.g457700.t1.2, Cre11.g467568.t1.1, Cre11.g481000.t1.2, Cre12.g493250.t1.2, Cre12.g498650.t1.2, Cre12.g499500.t1.1, Cre12.g527000.t1.2, Cre12.g529550.t1.2, Cre12.g537400.t1.1, Cre13.g564500.t1.1, Cre13.g570250.t1.1, Cre13.g571700.t1.1, Cre16.g657350.t1.2, Cre16.g663200.t1.1, Cre16.g665364.t1.1, Cre16.g669800.t1.2, Cre16.g672602.t1.1, Cre17.g705000.t1.2, Cre17.g719450.t1.1, Cre17.g735550.t1.1, Cre19.g750597.t1.1	Ec-00_000950, Ec-00_002050, Ec-00_008440, Ec-01_003490, Ec-01_005980, Ec-01_011080, Ec-02_001380, Ec-02_003930, Ec-03_000060, Ec-03_000200, Ec-04_005950, Ec-05_001850, Ec-06_005710, Ec-06_007860, Ec-06_007870, Ec-09_004090, Ec-10_000100, Ec-10_001120, Ec-10_005480, Ec-11_005800, Ec-12_002380, Ec-12_004110, Ec-12_004270, Ec-12_006640, Ec-14_002970, Ec-14_006350, Ec-15_002290, Ec-15_002660, Ec-16_002230, Ec-16_003920, Ec-17_001180, Ec-17_001910, Ec-17_002210, Ec-17_004210, Ec-19_002480, Ec-20_003580, Ec-21_000870, Ec-21_004630, Ec-21_004850, Ec-21_005230, Ec-21_005790, Ec-22_002380, Ec-23_000610, Ec-23_000620, Ec-23_003900, Ec-24_001050, Ec-24_001650, Ec-24_003050, Ec-26_001500, Ec-26_005140, Ec-26_005180, Ec-27_000340, Ec-27_000730, Ec-27_005760, Ec-28_001440	sll0776, slr0152, slr0593	Tiso_gene_10657, Tiso_gene_10658, Tiso_gene_10669, Tiso_gene_11115, Tiso_gene_11206, Tiso_gene_12127, Tiso_gene_12183, Tiso_gene_12564, Tiso_gene_12723, Tiso_gene_13244, Tiso_gene_13411, Tiso_gene_14030, Tiso_gene_14107, Tiso_gene_14758, Tiso_gene_15329, Tiso_gene_15383, Tiso_gene_15812, Tiso_gene_16784, Tiso_gene_16943, Tiso_gene_17416, Tiso_gene_17530, Tiso_gene_1882, Tiso_gene_19173, Tiso_gene_19240, Tiso_gene_19391, Tiso_gene_20347, Tiso_gene_20418, Tiso_gene_2253, Tiso_gene_2523, Tiso_gene_2607, Tiso_gene_2808, Tiso_gene_3345, Tiso_gene_3362, Tiso_gene_3992, Tiso_gene_4028, Tiso_gene_4300, Tiso_gene_4338, Tiso_gene_4579, Tiso_gene_4755, Tiso_gene_49, Tiso_gene_5164, Tiso_gene_5180, Tiso_gene_5765, Tiso_gene_6017, Tiso_gene_6216, Tiso_gene_6235, Tiso_gene_6365, Tiso_gene_7049, Tiso_gene_7634, Tiso_gene_768, Tiso_gene_769, Tiso_gene_8264, Tiso_gene_836, Tiso_gene_8616, Tiso_gene_8834, Tiso_gene_8835, Tiso_gene_8970, Tiso_gene_9012
OG0000001	A8MRD1_AT5G05690, F4JW83_AT5G04330, F4K0T0_AT5G05690, O23154_AT4G37340, O23391_AT4G15350, O64989_AT3G50660, O65790_AT4G37430, P58049_AT5G25120, Q058Q0_AT2G32440, Q0WTF4_AT4G37400, Q0WVN2_AT3G26310, Q42569_AT5G05690, Q42600_AT4G36220, Q56YS1_AT2G32440, Q6NQ75_AT4G37400, Q6TBX7_AT3G53130, Q8GXI6_AT5G52320, Q8H137_AT4G37430, Q8LCN8_AT4G37370, Q8S9L8_AT4G37430, Q8VYA6_AT4G37410, Q940V4_AT3G30180, Q94IA6_AT3G13730, Q9C543_AT4G36220, Q9C5Y2_AT2G32440, Q9FHC8_AT5G52320, Q9FMA5_AT5G38970, Q9FMY1_AT5G23190, Q9LIP5_AT3G26310, Q9LIP6_AT3G26300, Q9LTL0_AT3G26290, Q9LTL2_AT3G26270, Q9LXX7_AT3G56630, Q9M066_AT4G36380, Q9SZT7_AT4G37370, Q9SZU1_AT4G37410	Cre01.g003850.t1.1, Cre01.g027550.t1.1, Cre01.g038500.t1.2, Cre01.g054250.t1.2, Cre02.g142266.t1.1, Cre05.g234100.t1.2, Cre07.g325000.t1.1, Cre07.g340850.t1.2, Cre07.g356250.t1.1, Cre08.g373100.t1.1, Cre09.g396994.t1.1, Cre09.g397031.t1.1, Cre09.g397105.t1.1, Cre09.g397216.t1.1, Cre09.g397734.t1.1, Cre11.g467627.t1.1, Cre14.g626400.t1.2, Cre16.g648200.t1.2, Cre16.g648200.t3.1, Cre16.g678437.t1.1	Ec-00_005820, Ec-00_005850, Ec-14_006690, Ec-14_006700, Ec-21_001590	slr0574	Tiso_gene_8
OG0000002	Q0WR11_AT1G80350, Q9SEX2_AT1G80350	Cre01.g019850.t1.1, Cre01.g022000.t1.1, Cre02.g078966.t1.1, Cre03.g201100.t1.2, Cre07.g352350.t1.2, Cre09.g393950.t1.2, Cre09.g401182.t1.1, Cre10.g427600.t1.2, Cre10.g446400.t1.1, Cre10.g451850.t1.1, Cre12.g485800.t1.2, Cre13.g568400.t1.2, Cre14.g625625.t1.1, Cre16.g650151.t1.1, Cre17.g700300.t1.1, Cre17.g716450.t1.1, Cre17.g720050.t1.2	Ec-06_003850, Ec-06_008050, Ec-07_000210, Ec-08_001420, Ec-08_002610, Ec-09_002110, Ec-10_000710, Ec-11_003070, Ec-12_005180, Ec-15_002770, Ec-19_002970, Ec-21_006480, Ec-24_004440, Ec-25_001430, Ec-27_004290	sll1463, slr0228, slr1390, slr1604	Tiso_gene_11013, Tiso_gene_12185, Tiso_gene_13230, Tiso_gene_13755, Tiso_gene_14239, Tiso_gene_16142, Tiso_gene_16142, Tiso_gene_18872, Tiso_gene_18872, Tiso_gene_2068, Tiso_gene_3668, Tiso_gene_3668, Tiso_gene_4726, Tiso_gene_4873, Tiso_gene_5767, Tiso_gene_7387, Tiso_gene_8058, Tiso_gene_8860
OG0000003		Cre04.g217908.t1.1, Cre06.g283300.t1.2, Cre10.g422750.t1.1	Ec-00_005590, Ec-01_011630, Ec-01_011840, Ec-02_000670, Ec-03_001920, Ec-04_002670, Ec-05_004400, Ec-05_004510, Ec-05_004580, Ec-05_004660, Ec-05_006020, Ec-06_006590, Ec-06_006640, Ec-06_008980, Ec-06_008990, Ec-06_010900, Ec-07_003220, Ec-08_002010, Ec-08_002200, Ec-09_000650, Ec-09_001280, Ec-10_001010, Ec-10_005310, Ec-10_005380, Ec-10_006280, Ec-10_006290, Ec-10_006300, Ec-11_000110, Ec-11_003850, Ec-11_005830, Ec-12_005230, Ec-16_001080, Ec-16_001090, Ec-16_001330, Ec-16_001830, Ec-16_001900, Ec-16_002020, Ec-16_004900, Ec-17_001940, Ec-19_001110, Ec-19_001170, Ec-19_001180, Ec-19_001410, Ec-20_002390, Ec-22_003300, Ec-27_003170, Ec-27_005470		Tiso_gene_16211, Tiso_gene_19317, Tiso_gene_8017, Tiso_gene_9182
OG0000004		Cre01.g041450.t1.1, Cre02.g141250.t1.2, Cre03.g170250.t1.1, Cre03.g186950.t1.2, Cre03.g198000.t1.2, Cre03.g201400.t1.2, Cre03.g211073.t1.1, Cre04.g218150.t1.2, Cre04.g229494.t1.1, Cre04.g232802.t1.1, Cre06.g278260.t1.1, Cre08.g358616.t1.1, Cre08.g365632.t1.1, Cre09.g390600.t1.1, Cre09.g410600.t1.1, Cre12.g501950.t1.1, Cre12.g529150.t1.2, Cre16.g647800.t1.1, Cre16.g672397.t1.1, Cre16.g680566.t1.1	Ec-01_006930, Ec-01_012040, Ec-02_000640, Ec-05_001170, Ec-06_010370, Ec-07_007930, Ec-08_005490, Ec-10_002380, Ec-17_002260, Ec-17_003930, Ec-19_000960, Ec-20_001760, Ec-20_005030, Ec-24_003410, Ec-28_002580	sll0602, sll1033, sll1771	Tiso_gene_13371, Tiso_gene_139, Tiso_gene_14336, Tiso_gene_14985, Tiso_gene_15378, Tiso_gene_18619, Tiso_gene_18619, Tiso_gene_19603, Tiso_gene_4137, Tiso_gene_453, Tiso_gene_4810, Tiso_gene_5305, Tiso_gene_7633, Tiso_gene_8861, Tiso_gene_8861
OG0000005		Cre01.g007000.t1.2, Cre02.g095151.t1.1, Cre02.g096000.t1.1, Cre02.g096000.t2.1, Cre02.g112550.t1.2, Cre03.g162333.t1.1, Cre03.g169300.t1.2, Cre03.g169300.t2.1, Cre04.g220850.t1.2, Cre04.g224400.t1.1, Cre04.g224500.t1.1, Cre05.g241350.t1.1, Cre07.g313250.t1.2, Cre07.g327800.t1.1, Cre12.g530900.t1.2, Cre12.g547300.t1.1, Cre16.g648700.t1.1, Cre16.g648700.t2.1, Cre16.g655450.t1.1, Cre17.g717050.t1.1, Cre17.g723500.t1.1, Cre17.g743547.t1.1	Ec-01_004380, Ec-03_004810, Ec-08_000260, Ec-08_005610, Ec-09_002160, Ec-09_004270, Ec-09_004700, Ec-09_004710, Ec-16_000930, Ec-16_000940, Ec-16_001530, Ec-16_003110, Ec-19_004960, Ec-26_005290	sll0778	Tiso_gene_13211, Tiso_gene_14113, Tiso_gene_14547, Tiso_gene_16915, Tiso_gene_18780, Tiso_gene_20581, Tiso_gene_2206, Tiso_gene_237, Tiso_gene_3581, Tiso_gene_4693, Tiso_gene_601, Tiso_gene_79, Tiso_gene_9234
OG0000006		Cre01.g024550.t1.1, Cre01.g043850.t1.1, Cre02.g090700.t1.1, Cre02.g110850.t1.2, Cre03.g166750.t1.2, Cre03.g168150.t1.2, Cre03.g194100.t1.2, Cre08.g384900.t1.2, Cre09.g405900.t1.1, Cre12.g507750.t1.1, Cre12.g507750.t2.1, Cre12.g507750.t3.1, Cre12.g534650.t1.1, Cre13.g567200.t1.1, Cre16.g654900.t1.1, Cre16.g683650.t1.2	Ec-00_010720, Ec-01_003940, Ec-01_008360, Ec-04_001290, Ec-04_004810, Ec-05_003830, Ec-07_002880, Ec-08_002540, Ec-08_002560, Ec-10_004900, Ec-14_000610, Ec-14_005880, Ec-15_001320, Ec-16_003470, Ec-16_004570, Ec-17_002550, Ec-22_000460, Ec-27_002040, Ec-27_002080, Ec-27_005300		Tiso_gene_10059, Tiso_gene_12827, Tiso_gene_12828, Tiso_gene_15483, Tiso_gene_17047, Tiso_gene_17047, Tiso_gene_17980, Tiso_gene_3301, Tiso_gene_3326, Tiso_gene_8480
OG0000007	F4IV99_AT2G13370, Q0PCS3_AT3G19210	Cre02.g087600.t1.1, Cre03.g158550.t1.2, Cre03.g162701.t1.1, Cre03.g179300.t1.1, Cre03.g179300.t2.1, Cre03.g183350.t1.1, Cre03.g189000.t1.1, Cre03.g201850.t1.1, Cre06.g270850.t1.2, Cre08.g377200.t1.1, Cre09.g390000.t1.2, Cre10.g430950.t1.1, Cre12.g508150.t1.2, Cre16.g647602.t1.1	Ec-01_001550, Ec-02_003420, Ec-04_003570, Ec-04_006330, Ec-08_003430, Ec-10_002170, Ec-12_001230, Ec-12_007350, Ec-14_006770, Ec-15_000520, Ec-15_000660, Ec-15_000680, Ec-15_002620, Ec-24_003120	sll1366	Tiso_gene_10158, Tiso_gene_11324, Tiso_gene_11868, Tiso_gene_15603, Tiso_gene_3667, Tiso_gene_3677, Tiso_gene_395, Tiso_gene_43, Tiso_gene_5443, Tiso_gene_6144, Tiso_gene_6144, Tiso_gene_8599, Tiso_gene_8600, Tiso_gene_8601
OG0000008		Cre07.g338550.t1.1, Cre09.g403000.t1.1, Cre13.g574200.t1.1, Cre14.g619400.t1.2	Ec-00_005680, Ec-00_006900, Ec-00_009390, Ec-01_010220, Ec-02_001160, Ec-02_001180, Ec-03_000860, Ec-06_008720, Ec-08_000900, Ec-08_000910, Ec-08_000930, Ec-08_000940, Ec-08_005390, Ec-09_004070, Ec-09_004230, Ec-09_004260, Ec-09_004570, Ec-14_000190, Ec-14_000210, Ec-14_004740, Ec-14_005160, Ec-18_004360, Ec-18_004380, Ec-19_002090, Ec-19_002150, Ec-20_001980, Ec-20_002700, Ec-21_001490, Ec-21_003140, Ec-21_003160, Ec-22_003230, Ec-23_004040, Ec-24_000710, Ec-25_001510, Ec-25_001520, Ec-25_001570, Ec-25_002430, Ec-25_002470, Ec-28_002820		
OG0000009		Cre17.g720250.t1.2	Ec-01_006160, Ec-01_008960, Ec-01_009740, Ec-02_003400, Ec-03_001900, Ec-06_000450, Ec-06_000460, Ec-06_000470, Ec-06_000490, Ec-06_000510, Ec-06_000520, Ec-06_000530, Ec-06_000540, Ec-06_000550, Ec-06_000570, Ec-06_000580, Ec-06_000710, Ec-06_000730, Ec-06_000750, Ec-07_005670, Ec-08_003290, Ec-14_006900, Ec-15_000490, Ec-18_001730, Ec-19_004240, Ec-25_003800, Ec-27_002740, Ec-28_003120		Tiso_gene_10597, Tiso_gene_10681, Tiso_gene_15628, Tiso_gene_15630, Tiso_gene_15968, Tiso_gene_16057, Tiso_gene_19966, Tiso_gene_3128, Tiso_gene_4478, Tiso_gene_4763, Tiso_gene_4763, Tiso_gene_939, Tiso_gene_939, Tiso_gene_9600
