0_0: AT4G39850.1
0_1: AT4G39850.2
0_2: AT4G39850.3
0_3: AT3G05420
0_4: AT3G18440
0_5: AT1G09960
0_6: AT5G14570
0_7: AT5G47560.1
0_8: AT5G47560.2
0_9: AT5G64290
0_10: AT5G17520
0_11: AT3G24290
0_12: AT5G46110.1
0_13: AT5G46110.2
0_14: AT5G46110.3
0_15: AT5G46110.4
0_16: AT5G54800.1
0_17: AT5G54800.2
0_18: AT5G17630.1
0_19: AT5G17630.2
0_20: AT1G61800.1
0_21: AT1G61800.2
0_22: AT3G01550
0_23: AT5G33320
0_24: AT3G46980
0_25: AT1G02260
0_26: AT1G20860
0_27: AT5G12860.1
0_28: AT5G12860.2
0_29: AT1G71880.1
0_30: AT1G71880.2
0_31: AT5G18880
0_32: AT1G78000.1
0_33: AT1G78000.2
0_34: AT1G22150
0_35: AT1G64780
0_36: AT1G77760.1
0_37: AT1G77760.2
0_38: AT1G01620.1
0_39: AT1G01620.2
0_40: AT1G01620.3
0_41: P56757_ARTHCP007
0_42: P56759_ARTHCP008
0_43: P56760_ARTHCP009
0_44: P56758_ARTHCP010
0_45: P56754_ARTHCP025
0_46: P56756_ARTHCP026
0_47: P56751_ARTHCP027
0_48: P09468_ARTHCP028
0_49: P19366_ARTHCP029
0_50: O03042_ARTHCP030
0_51: P0CC32_ARTHCP068
0_52: P56752_ARTHCP071
0_53: P26288_ARTHCP074
0_54: P26289_ARTHCP076
0_55: Q95695_ARTHCP077
0_56: P56755_ARTHCP078
0_57: Q37165_ARTHCP079
0_58: P56753_ARTHCP080
0_59: P29388_ARTHMP006
0_60: Q95748_ARTHMP007
0_61: P60497_ARTHMP024
0_62: G1C2Y0_ARTHMP024
0_63: P92563_ARTHMP026
0_64: O05000_ARTHMP026
0_65: G1C2Q1_ARTHMP026
0_66: P93298_ARTHMP035
0_67: P93306_ARTHMP043
0_68: G1C2X4_ARTHMP043
0_69: P93313_ARTHMP051
0_70: G1C2U9_ARTHMP051
0_71: Q04614_ARTHMP058
0_72: G1C2W6_ARTHMP058
0_73: P92533_ARTHMP086
0_74: G1C2Y6_ARTHMP086
0_75: P60112_ARTHMP094
0_76: Q304C3_ARTHMP094
0_77: P92547_ARTHMP098
0_78: G1C2S8_ARTHMP098
0_79: Q93V56_AT1G01050
0_80: O24457_AT1G01090
0_81: F4HS79_AT1G01190
0_82: Q9MAL6_AT1G01190
0_83: Q9LMM1_AT1G01600
0_84: Q8GYW7_AT1G01710
0_85: F4HU51_AT1G01710
0_86: Q56XD4_AT1G01710
0_87: O23674_AT1G02050
0_88: Q4JNW5_AT1G02050
0_89: Q4JNU5_AT1G02050
0_90: Q4JNU1_AT1G02050
0_91: Q4JNW8_AT1G02050
0_92: Q4JNT9_AT1G02050
0_93: Q4JNU6_AT1G02050
0_94: Q4JNW6_AT1G02050
0_95: Q4JNU2_AT1G02050
0_96: Q4JNW2_AT1G02050
0_97: Q4JNW4_AT1G02050
0_98: Q4JNV9_AT1G02050
0_99: Q94KD8_AT1G02640
0_100: P49062_AT1G02790
0_101: Q0WM21_AT1G02790
0_102: Q9SRY5_AT1G02920
0_103: Q9SRY6_AT1G02940
0_104: Q84TK0_AT1G02950
0_105: B3H520_AT1G02950
0_106: Q8W4M7_AT1G03190
0_107: Q9LR75_AT1G03475
0_108: Q593N9_AT1G04410
0_109: P93819_AT1G04410
0_110: B9DHX4_AT1G04410
0_111: Q5XF24_AT1G04440
0_112: Q84WN7_AT1G04440
0_113: Q9SXP7_AT1G04640
0_114: B9DF86_AT1G04640
0_115: Q6AWV1_AT1G04640
0_116: Q8LF48_AT1G04710
0_117: O23044_AT1G05260
0_118: Q0WSR2_AT1G05260
0_119: Q9AUE0_AT1G05570
0_120: F4I8T3_AT1G05570
0_121: Q9SYK0_AT1G05590
0_122: F4I8U2_AT1G05610
0_123: Q9LNE3_AT1G06030
0_124: P0CZ23_AT1G06290
0_125: Q9LMI7_AT1G06310
0_126: Q9LMI0_AT1G06410
0_127: P93836_AT1G06570
0_128: F4IDP2_AT1G06570
0_129: Q8L7E8_AT1G06570
0_130: Q9MB58_AT1G07110
0_131: Q8VWZ8_AT1G07420
0_132: Q8RX32_AT1G07450
0_133: P0DKI3_AT1G07450
0_134: Q9XES1_AT1G07670
0_135: A0A076_AT1G07670
0_136: Q8L7P6_AT1G07670
0_137: Q42440_AT1G07780
0_138: B3H4J9_AT1G07780
0_139: Q39246_AT1G07780
0_140: P92939_AT1G07810
0_141: Q05431_AT1G07890
0_142: C0Z2H6_AT1G07890
0_143: F4HU93_AT1G07890
0_144: F4HUC4_AT1G08065
0_145: Q8L817_AT1G08080
0_146: Q9SJE2_AT1G08510
0_147: Q9SJE1_AT1G08520
0_148: F4HXR6_AT1G08840
0_149: F4HXR5_AT1G08840
0_150: O04043_AT1G08840
0_151: Q93ZW0_AT1G09420
0_152: F4I0Y8_AT1G09420
0_153: Q0WPI4_AT1G09420
0_154: O80526_AT1G09430
0_155: O04499_AT1G09780
0_156: Q94AY0_AT1G09780
0_157: Q8H161_AT1G09780
0_158: Q93ZF2_AT1G09780
0_159: Q8GSJ1_AT1G09795
0_160: P52420_AT1G09830
0_161: P49294_AT1G09940
0_162: Q9M439_AT1G10070
0_163: Q2V4P2_AT1G10070
0_164: B9DHH5_AT1G10070
0_165: Q56WQ7_AT1G10070
0_166: Q9SY55_AT1G10130
0_167: B9DGX9_AT1G10130
0_168: Q9SGY2_AT1G10670
0_169: F4I5V8_AT1G10670
0_170: Q9SUI2_AT1G10900
0_171: Q8L840_AT1G10930
0_172: Q84JX1_AT1G11590
0_173: Q9SAB7_AT1G11600
0_174: Q9SAB6_AT1G11610
0_175: F4I8Y7_AT1G11610
0_176: O65396_AT1G11860
0_177: Q6NKT6_AT1G11880
0_178: O65394_AT1G11880
0_179: Q8RW90_AT1G12050
0_180: Q9FWW9_AT1G12200
0_181: Q9FWX0_AT1G12230
0_182: Q56WS4_AT1G12230
0_183: F4IC59_AT1G12230
0_184: Q39041_AT1G12240
0_185: Q8L488_AT1G12240
0_186: Q42605_AT1G12780
0_187: Q9SDS7_AT1G12840
0_188: C0SUV0_AT1G12840
0_189: Q0WVA3_AT1G12840
0_190: Q9LPW0_AT1G12900
0_191: F4HNZ6_AT1G12900
0_192: Q56Z86_AT1G12900
0_193: Q9SAE3_AT1G13090
0_194: Q8LB43_AT1G13090
0_195: Q9SAE4_AT1G13100
0_196: Q8GZ11_AT1G13100
0_197: Q9SAF5_AT1G13210
0_198: Q0WM60_AT1G13210
0_199: Q9FX54_AT1G13440
0_200: F4HQT1_AT1G13440
0_201: C0Z2I0_AT1G13440
0_202: Q56WJ4_AT1G13440
0_203: O82567_AT1G13560
0_204: F4HQU9_AT1G13560
0_205: Q9LMX8_AT1G13700
0_206: Q9LMX7_AT1G13710
0_207: Q9XI81_AT1G14070
0_208: W8Q7D0_AT1G14070
0_209: Q9XI80_AT1G14080
0_210: W8QPA3_AT1G14080
0_211: O49839_AT1G14370
0_212: Q8L799_AT1G14520
0_213: Q0WLQ4_AT1G14520
0_214: F4HW72_AT1G14520
0_215: Q9LE15_AT1G14540
0_216: Q9M9Q9_AT1G14550
0_217: P93736_AT1G14610
0_218: Q6NPT2_AT1G14610
0_219: Q56X13_AT1G14610
0_220: Q8H129_AT1G14700
0_221: Q8VYI4_AT1G14810
0_222: Q39103_AT1G15550
0_223: P31414_AT1G15690
0_224: Q0WWI1_AT1G15690
0_225: A8MQH1_AT1G15690
0_226: Q01909_AT1G15700
0_227: Q9S9N9_AT1G15950
0_228: C0Z2K0_AT1G15950
0_229: A8MQW5_AT1G15950
0_230: Q5E924_AT1G16300
0_231: Q6NQL4_AT1G16340
0_232: F4I2W6_AT1G16340
0_233: Q9SA34_AT1G16350
0_234: Q8GXQ8_AT1G16350
0_235: Q8L7M0_AT1G16570
0_236: B3H5N4_AT1G16570
0_237: Q9FX83_AT1G16700
0_238: Q8GY81_AT1G16900
0_239: Q9FZ49_AT1G16900
0_240: W8QPA0_AT1G16900
0_241: Q9FZ57_AT1G16980
0_242: Q9SHG0_AT1G17000
0_243: Q76FS5_AT1G17050
0_244: Q5HZ00_AT1G17050
0_245: A1A6H3_AT1G17160
0_246: A8MQX7_AT1G17160
0_247: Q43128_AT1G17260
0_248: G9B9K7_AT1G17260
