Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea
OG0005415	AT5G17630.2				
OG0005416	AT1G61800.2				
OG0005417	AT5G12860.2				
OG0005418	AT5G18880				
OG0005419	AT1G78000.2				
OG0005420	P60497_ARTHMP024				
OG0005421	G1C2Y0_ARTHMP024				
OG0005422	P92563_ARTHMP026				
OG0005423	O05000_ARTHMP026				
OG0005424	G1C2Q1_ARTHMP026				
OG0005425	F4HS79_AT1G01190				
OG0005426	Q9MAL6_AT1G01190				
OG0005427	Q9LMM1_AT1G01600				
OG0005428	Q8GYW7_AT1G01710				
OG0005429	F4HU51_AT1G01710				
OG0005430	Q56XD4_AT1G01710				
OG0005431	Q593N9_AT1G04410				
OG0005432	O23044_AT1G05260				
OG0005433	Q0WSR2_AT1G05260				
OG0005434	F4I8U2_AT1G05610				
OG0005435	Q9SJE2_AT1G08510				
OG0005436	O80526_AT1G09430				
OG0005437	F4I5V8_AT1G10670				
OG0005438	Q84JX1_AT1G11590				
OG0005439	Q9SAB7_AT1G11600				
OG0005440	Q9SAB6_AT1G11610				
OG0005441	F4I8Y7_AT1G11610				
OG0005442	Q8L488_AT1G12240				
OG0005443	F4HNZ6_AT1G12900				
OG0005444	Q56Z86_AT1G12900				
OG0005445	Q9SAE3_AT1G13090				
OG0005446	Q8LB43_AT1G13090				
OG0005447	Q9SAE4_AT1G13100				
OG0005448	Q8GZ11_AT1G13100				
OG0005449	Q0WM60_AT1G13210				
OG0005450	F4HQT1_AT1G13440				
OG0005451	C0Z2I0_AT1G13440				
OG0005452	Q56WJ4_AT1G13440				
OG0005453	Q9LMX7_AT1G13710				
OG0005454	Q9XI81_AT1G14070				
OG0005455	W8Q7D0_AT1G14070				
OG0005456	Q9XI80_AT1G14080				
OG0005457	W8QPA3_AT1G14080				
OG0005458	Q9LE15_AT1G14540				
OG0005459	Q9M9Q9_AT1G14550				
OG0005460	Q56X13_AT1G14610				
OG0005461	A8MQH1_AT1G15690				
OG0005462	Q01909_AT1G15700				
OG0005463	Q5E924_AT1G16300				
OG0005464	Q8GY81_AT1G16900				
OG0005465	Q43128_AT1G17260				
OG0005466	G9B9K7_AT1G17260				
OG0005467	O22527_AT1G19670				
OG0005468	B9DFU4_AT1G20020				
OG0005469	B9DHR6_AT1G20620				
OG0005470	A0A0B4UMT5_AT1G20620				
OG0005471	Q56Z02_AT1G20960				
OG0005472	Q41923_AT1G22410				
OG0005473	Q9SK86_AT1G22430				
OG0005474	Q9SK87_AT1G22440				
OG0005475	C1PID2_AT1G23800				
OG0005476	C1PID4_AT1G23800				
OG0005477	O48677_AT1G24110				
OG0005478	P55230_AT1G27680				
OG0005479	A0A0B7FF67_AT1G28120				
OG0005480	A0A0B7FGN7_AT1G28120				
OG0005481	Q9SGP2_AT1G28440				
OG0005482	Q42018_AT1G29900				
OG0005483	Q9C8G4_AT1G30350				
OG0005484	Q9SY33_AT1G30870				
OG0005485	F4I7V2_AT1G31070				
OG0005486	Q0WLP1_AT1G31910				
OG0005487	Q93Z53_AT1G32440				
OG0005488	A1L4Y2_AT1G32780				
OG0005489	Q9LNL0_AT1G34510				
OG0005490	Q0WRX6_AT1G34510				
OG0005491	Q56X29_AT1G35670				
OG0005492	P25857_AT1G42970				
OG0005493	Q84VY3_AT1G43800				
OG0005494	Q94LA4_AT1G44318				
OG0005495	Q96512_AT1G44970				
OG0005496	Q0WR53_AT1G44970				
OG0005497	Q56W11_AT1G48030				
OG0005498	Q9FX85_AT1G49570				
OG0005499	Q42534_AT1G53830				
OG0005500	Q9SYG7_AT1G54100				
OG0005501	Q9C888_AT1G55180				
OG0005502	Q9SAV3_AT1G55510				
OG0005503	Q9ZVV4_AT1G55570				
